"%1 (inc. %2 initial fee)","%1 (inc. %2 initial fee)"
"%1 (disabled)","%1 (disabled)"
"%1 of %2 orders","%1 of %2 orders"
"%1 of orig. price","%1 of orig. price"
"%1 orders left","%1 orders left"
"%1 payment","%1 payment"
"%1 payments","%1 payments"
"A Reminder About Upcoming Billing","A Reminder About Upcoming Billing"
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"A total of %1 record(s) have been cancelled.","A total of %1 record(s) have been cancelled."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been suspended.","A total of %1 record(s) have been suspended."
"Actions","Actions"
"Activate","Activate"
"Active","Active"
"Actual order totals displayed. They may also contain non-subscription items and/or the other subscriptions, when charged together with the current one.","Actual order totals displayed. They may also contain non-subscription items and/or the other subscriptions, when charged together with the current one."
"Add","Add"
"Add Plan","Add Plan"
"Additional Pricing Settings","Additional Pricing Settings"
"Addresses, Shipping And Payment Methods","Addresses, Shipping And Payment Methods"
"Aheadworks Extensions","Aheadworks Extensions"
"All emails about billing failure will be copied to this address. Separate several addresses with commas. Leave empty to disable.","All emails about billing failure will be copied to this address. Separate several addresses with commas. Leave empty to disable."
"All Websites","All Websites"
"Applies to subscriptions of shippable products which the same shipping addresses. In case of different shipping methods, the one set as ""Shipping Method For Subscription Orders"" will be used. Make sure to set up default shipping method for subscription orders (the option above).","Applies to subscriptions of shippable products which the same shipping addresses. In case of different shipping methods, the one set as ""Shipping Method For Subscription Orders"" will be used. Make sure to set up default shipping method for subscription orders (the option above)."
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"Billing Address","Billing Address"
"Billing Cycle","Billing Cycle"
"Billing Failed Email Template","Billing Failed Email Template"
"Billing Successful Email Template","Billing Successful Email Template"
"Cancel","Cancel"
"Cancel Subscription","Cancel Subscription"
"Cancelled","Cancelled"
"Change status","Change status"
"Could not delete the plan: %1","Could not delete the plan: %1"
"Coupon can not be applied to the cart which contains subscription(s)","Coupon can not be applied to the cart which contains subscription(s)"
"Created At","Created At"
"Customer","Customer"
"Date","Date"
"Date: %1","Date: %1"
"Day","Day"
"Daily","Daily"
"Dear %customerName,","Dear %customerName,"
"Delete","Delete"
"Disable","Disable"
"Don't round","Don't round"
"Down to X9.00","Down to X9.00"
"Down to XX.90","Down to XX.90"
"Down to XX.99","Down to XX.99"
"Duplicate plans are not allowed.","Duplicate plans are not allowed."
"Each Payment (except Trial Period, excl. tax and shipping)","Each Payment (except Trial Period, excl. tax and shipping)"
"Edit Plan","Edit Plan"
"Email","Email"
"Email Sender","Email Sender"
"Email Settings","Email Settings"
"Enable","Enable"
"Enable Extension Log","Enable Extension Log"
"Enable Initial Fee","Enable Initial Fee"
"Enable Trial Period","Enable Trial Period"
